title,date,ICE Bed Capacity,Average ICE Population,Adult Male Population,Adult Female Population
"2025 Pinellas County Jail, Clearwater, FL - May 13, 2025","Jun 13
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 East Hidalgo Detention Center, La Villa, TX - May 20, 2025","Jun 13
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Sweetwater County Jail, Rock Springs, WY - May 8, 2025","Jun 13
2025",REDACTED,1,REDACTED,REDACTED
"EROIGSA-14-0001 P00042-P00043 Otero County Processing Center IGSA – Chaparral, NM","Jun 11
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-07-0029 P00054: Polk County Adult Detention Facility IGSA – Livingston, TX","Jun 11
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20DIG000008 P00006: Finney County IGSA – Garden City, KS","Jun 11
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR21DIG000012 P00017: Moshannon Valley Processing Center - Philipsburg, PA","Jun 11
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20DIG000005 P00006: Hancock County IGSA – Bay St. Louis, MS","Jun 11
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000006 P00016-P00017 Richwood Town IGSA – Richwood, LA","Jun 11
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR18DIG000012 P00033: South Texas Family Residential Center IGSA – Dilley, TX","Jun 11
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR18DIG000010 P00033: Laredo Processing Center (Webb County) IGSA – Laredo, TX","Jun 11
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Pike County Correctional Facility – Sep. 17-19, 2024","Jun 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"ODT-5-C-0010 P00072: Elizabeth Contract Detention Facility – Elizabeth, NJ","Jun 05
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-07-0024 P00014: Collier County IGSA – Naples, FL","Jun 05
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000016 P00024: Adams County Correctional Center IGSA - Natchez, MS","Jun 05
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR21D00000004 P00017: Broward CDF – Pompano Beach, FL","Jun 05
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR22D00000002 P00022-P00023: Port Isabel SPC (NEW) IGSA – Los Fresnos, TX","Jun 05
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR23D00000004 P00005: Aguadilla Puerto Rico Facility – Aguadilla, PR","Jun 05
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR23DIG000007 P00010-P00011: El Valle Detention Facility IGSA – Raymondville, TX","Jun 05
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24DIG000006 P00004: Farmville Town of IGSA – Farmville, VA","Jun 05
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR25DIG000008 P00001: Concordia Parish (River) IGSA – Ferriday, LA","Jun 05
2025",REDACTED,REDACTED,REDACTED,REDACTED
SEVIS by the Numbers Annual Report: 2024,"Jun 05
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Caroline Detention Center, Bowling Green, VA - Apr. 15-17, 2025","Jun 05
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Krome North Service Processing Center, Miami, FL - Apr. 29 - May 1,  2025","Jun 05
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Washington County Detention Center, Fayetteville, AR - Apr. 24, 2025","Jun 05
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Pine Prairie ICE Processing Center, Pine Prairie, LA - Apr. 8-10, 2025","Jun 03
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Directive: 11072.4 Civil Immigration Enforcement Actions In or Near Courthouses (May 27, 2025)","Jun 03
2025",REDACTED,REDACTED,REDACTED,REDACTED
"El Paso Service Processing Center – July 16-18, 2024","May 29
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Hancock County Public Safety Complex, Bay St. Louis, MS - May 8, 2025","May 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Memo: HSI - Evidence Timeframes - Dec. 18, 2024","May 21
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Memo: HSI - Changes to Purchase of Evidence Tracking in SEACATS - Mar. 14, 2025","May 21
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Memo: HSI - Assists and Transfer of Seized Property - Sep. 30, 2024","May 21
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Memo: Detained Noncitizen Transfers Required Due to a Healthcare Condition (May 19, 2022)","May 19
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Dodge County Jail, Juneau, WI - Apr. 1-3, 2025","May 15
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Mesa Verde ICE Processing Center, Bakersfield, CA - Apr. 15-17, 2025","May 13
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Chittenden Regional Correctional Facility, South Burlington, VT - Apr. 24, 2025","May 13
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Laredo Processing Cener, Laredo, TX - Mar. 18-20, 2025","May 13
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Strafford County Corrections, Dover, NH - Mar. 25-27, 2025","May 13
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR18DIG000010 P00029-P00031: Laredo Processing Center (Webb County) IGSA – Laredo, TX","May 12
2025",REDACTED,REDACTED,REDACTED,REDACTED
"005-2025 Delegation of Limited Customs Officer Enforcement Authority to Enforcement and Removal Operations (Apr. 16, 2025)","May 12
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Nevada Southern Detention Center, Pahrump, NV - Mar. 25-27, 2025","May 12
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Port Isabel Service Processing Center, Los Fresnos, TX - Mar. 25-27, 2025","May 12
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24R00000013: Buffalo Federal Detention Facility – Batavia, NY","May 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24R00000013-A0003: Buffalo Federal Detention Facility – Batavia, NY","May 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24R00000013-A0002: Buffalo Federal Detention Facility – Batavia, NY","May 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24R00000013-A0001: Buffalo Federal Detention Facility – Batavia, NY","May 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"EROIGSA-17-0003 P00024: Cibola County Correctional Center IGSA – Milan, NM","May 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"EROIGSA-12-0004 P00012: Strafford County Corrections IGSA – Dover, NH","May 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR25D00000007 P00001: Delaney Hall CDF – Newark, NJ","May 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24D00000009 P00003-P00004: Krome SPC IGSA – Miami, FL","May 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR22D00000012 P00012-P00014: El Paso SPC – El Paso, TX","May 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20D00000006 P00019-P00020: Imperial Regional CDF – Calexico, CA","May 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000017 P00040: Jones County (Bluebonnet Detention Facility) IGSA – Anson, TX","May 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20D00000004 P00022: Florence SPC – Florence, AZ","May 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Chippewa County, Sault Sainte Marie, MI - Apr. 1-3, 2025","May 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Limestone County Detention Center, Groesbeck, TX - Mar. 25-27, 2025","May 07
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 South Louisiana Detention Center, Basile, LA - Mar. 4-6, 2025","May 05
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Stewart Detention Center, Lumpkin, GA - Mar. 18-20, 2025","May 05
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR18DIG000004 P00018-P00026: Webb County Detention Center IGSA – Laredo, TX","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR21D00000004 P00014-P00016: Broward CDF - Pompano Beach, FL","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20D00000008 P00012-P00017: Mesa Verde ICE Processing Facility - Bakersfield, CA","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20D00000006 P00017-P00018: Imperial Region CDF – Calexico, CA","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000017 P00037-P00038: Jones County (Bluebonnet Detention Facility) IGSA – Anson, TX","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000004 P00012: Concordia Parish (River Correctional Center) IGSA – Vidalia, LA","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"EROIGSA-17-0002 P00028-P00030: Folkston IPC (Charlton County) IGSA – Folkston, GA","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-09-0020 P00021: Freeborn County IGSA – Albert Lea, MN","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR25DIG000008 BASE: Concordia Parish (River) IGSA – Ferriday, LA","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24DIG000003 P00003: Caroline County IGSA – Bowling Green, VA","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR23DIG000007 P00006-P00009: El Valle Detention Facility IGSA – Raymondville, TX","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR23DIG000001 P00006-P00009: Eloy Detention Center IGSA – Eloy, AZ","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Moshannon Valley Processing Center, Philipsburg, PA - Mar. 4-6, 2025","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Monroe County Detention -Dorm, Monroe, MI - Mar. 11-13, 2025","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Kay County Justice Facility, Newkirk, OK - Mar. 4-6, 2025","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Freeborn County Adult Detention Center, Albert Lea, MN - Mar. 4-6, 2025","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 El Valle Detention Facility, Raymondville, TX - Mar. 4-6, 2025","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Chase County Detention Facility, Cottonwood Falls, KS - Mar. 11-13, 2025","May 02
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Cibola County Correctional Center, Milan, NM - Feb. 25-27, 2025","Apr 30
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Denver Contract Detention Facility – Jul. 7-11, 2024","Apr 28
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Alexandria Staging Facility, Alexandria, LA - Feb. 25-27, 2025","Apr 25
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Pike County Correctional Facility, Lords Valley, PA - Feb. 25-27, 2025","Apr 25
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Kandiyohi County Jail, Wilmar, MN - Mar. 11-13, 2025","Apr 25
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Eden Detention Center, Eden, TX - Feb. 25-27, 2025","Apr 25
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Desert View Modified Community Correctional Facility, Adelanto, CA - Feb. 25-27, 2025","Apr 25
2025",REDACTED,REDACTED,REDACTED,REDACTED
"EROIGSA-15-0006 P00038: Pine Prairie South Louisiana Correctional Center IGSA – Pine Prairie, LA","Apr 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-09-0020 P00022: Freeborn County IGSA – Albert Lea, MN","Apr 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-08-0025 P00020: Monroe County IGSA – Monroe, MI","Apr 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000009 P00041: Torrance County IGSA – Estancia, NM","Apr 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR18DIG000010 P00032: Laredo Processing Center (Webb County) IGSA – Laredo, TX","Apr 24
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR18DIG000013 P00036: Joe Corley Detention (Montgomery County) IGSA – Conroe, TX","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000005 P00017: Jackson Parish IGSA – Jonesboro, LA","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24DIG000006 P00003: Farmville Town IGSA – Farmville, VA","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR23DIG000001 P00010: Eloy Detention Center IGSA – Eloy, AZ","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000017 P00039: Jones County (Bluebonnet Detention Facility) IGSA – Anson, TX","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR22D00000012 P00011: El Paso SPC – El Paso, TX","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-09-0038 P00026: Baker County Sheriff's Department IGSA – MacClenny, F","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-07-0024 P00013: Collier County IGSA – Naples, FL","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR24DIG000018 P00002: Karnes County Residential Center IGSA – Karnes City, TX","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20D00000012 P00021: South Texas ICE Processing Center - Pearsall, TX","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR18DIG000012 P00032: South Texas Family Residential Center IGSA – Dilley, TX","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR20D00000007 P00022: Otay Mesa CDF - San Diego, CA","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"HSCEDM-15-D-00015 P00049: Northwest ICE Processing Center (NWIPC) - Tacoma, WA","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"EROIGSA-12-0002 P00016: Pike County IGSA – Lords Valley, PA","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR25DIG000014: BASE Ozark County IGSA – Gainesville, MO","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"DROIGSA-08-0025 P00019: Monroe County IGSA – Monroe, MI","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR19DIG000016 P00023: Adams County Correctional Center IGSA - Natchez, MS","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"70CDCR25D00000007: BASE Delaney Hall CDF – Newark, NJ","Apr 22
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 IAH Secure Adult Detention Facility (Polk), Livingston, TX - Feb. 11-13, 2025","Apr 10
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 El Paso Service Processing Center, El Paso, TX - Feb. 11-13, 2025","Apr 10
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Florence Service Processing Center, Florence, AZ - Feb. 11-13, 2025","Apr 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Denver Contract Detention Facility, Aurora, CO - Feb. 11-13, 2025","Apr 09
2025",REDACTED,REDACTED,REDACTED,REDACTED
"Updated Terminology for Communications Materials and Internal and External Communications (Mar. 31, 2025)","Apr 08
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Webb County Detention Center, Laredo, TX - Feb. 4-6, 2025","Apr 03
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 South Texas ICE Processing Center, Pearsall, TX - Feb. 4-6, 2025","Apr 03
2025",REDACTED,REDACTED,REDACTED,REDACTED
"2025 Polk County Jail, Des Moines, IA - Feb. 4-6, 2025","Apr 03
2025",REDACTED,REDACTED,REDACTED,REDACTED
